judul,imdb_rating,metascore,votes
Mardaani 2,7.4,,5913
Abigail,4.9,,2166
Strange But True,5.7,56        ,1813
And Then We Danced,7.9,,5934
Arab Blues,6.3,,435
Hache,6.3,,682
Thadam,8.2,,3468
Inmate #1: The Rise of Danny Trejo,9.0,,46
Otherhood,6.0,,8198
Tune in for Love,7.1,,1252
First Cow,7.1,,499
Monster Island,2.6,,348
The Divine Fury,6.1,,1624
Better Days,7.5,,1700
Unaired Game of Thrones Prequel Pilot,6.3,,29
Into the Ashes,5.6,50        ,2253
Ode to Joy,6.3,,2175
Dororo,8.4,,4495
The Final Call,7.3,,986
Drive,2.5,,3200
Bait,7.2,,2482
Moominvalley,7.1,,490
Always a Bridesmaid,5.4,,352
Native Son,5.7,,1762
Celebrity SAS: Who Dares Wins,8.0,,43
The Mandela Effect,5.5,,1042
Destination Fear,7.2,,463
The Birch,6.5,,319
H is for Happiness,6.3,,123
Dying for a Baby,4.6,,150
Over the Moon in Love,6.4,,542
Weird City,5.9,,1730
Blue's Clues & You,6.8,,115
